Text3,Text1,Text,Field,Hempfield_Area_HS_8,Text2
2/3/2024,Guard: SRG,Donegal HS,GE 70/130,"13.350 1
st",
2/3/2024,Guard: SRG,Donegal HS,GE 70/130,"11.880 3
rd",
2/3/2024,Guard: SRG,Donegal HS,Total,,62.870
2/3/2024,Guard: IRG,Moxie Guard,EQ70-130,"12.940 1
st",
2/3/2024,Guard: IRG,Moxie Guard,MV70-130,"13.010 1
st",
2/3/2024,Guard: IRG,Moxie Guard,DES 70/130,"12.410 1
st",
2/3/2024,Guard: IRG,Moxie Guard,GE 70/130,"11.420 1
st",
2/3/2024,Guard: IRG,Moxie Guard,GE 70/130,"12.610 1
st",
2/3/2024,Guard: IRG,Moxie Guard,Total,,62.390
2/3/2024,Guard: SAG,Parkland HS,EQ70-130,"12.680 1
st",
2/3/2024,Guard: SAG,Parkland HS,MV70-130,"11.340 1
st",
2/3/2024,Guard: SAG,Parkland HS,DES 10/10,"12.200 1
st",
2/3/2024,Guard: SAG,Parkland HS,GE 10/10,"10.800 1
st",
2/3/2024,Guard: SAG,Parkland HS,GE 10/10,"12.600 1
st",
2/3/2024,Guard: SAG,Parkland HS,Total,,59.620
2/3/2024,Guard: IAG,Polaris,EQ70-130,"13.740 2
nd",
2/3/2024,Guard: IAG,Polaris,MV70-130,"11.940 1
st",
2/3/2024,Guard: IAG,Polaris,DES 10/10,"12.900 2
nd",
2/3/2024,Guard: IAG,Polaris,GE 10/10,"12.100 2
nd",
2/3/2024,Guard: IAG,Polaris,GE 10/10,"13.400 2
nd",
2/3/2024,Guard: IAG,Polaris,Total,,64.080
2/3/2024,Stationary Percussion: SAS,Trinity HS,MUS-SPERC,"26.400 2
nd",
2/3/2024,Stationary Percussion: SAS,Trinity HS,ART-SPERC,"30.300 2
nd",
2/3/2024,Stationary Percussion: SAS,Trinity HS,Total,,56.700
2/3/2024,Marching Percussion: SAP,Souderton HS,VIS-PERC,"11.000 1
st",
2/3/2024,Marching Percussion: SAP,Souderton HS,VE-PERC,"11.100 1
st",
2/3/2024,Marching Percussion: SAP,Souderton HS,MUS-PERC,"19.100 1
st",
2/3/2024,Marching Percussion: SAP,Souderton HS,ME-PERC,"16.200 1
st",
2/3/2024,Marching Percussion: SAP,Souderton HS,Total,,57.400
2/3/2024,Marching Percussion: SRP,Governor Mifflin HS,VIS-PERC,"11.000 1
st",
2/3/2024,Marching Percussion: SRP,Governor Mifflin HS,VE-PERC,"12.400 1
st",
2/3/2024,Marching Percussion: SRP,Governor Mifflin HS,MUS-PERC,"23.400 1
st",
2/3/2024,Marching Percussion: SRP,Governor Mifflin HS,ME-PERC,"16.950 1
st",
2/3/2024,Marching Percussion: SRP,Governor Mifflin HS,Total,,63.750
2/3/2024,,,,,
2/3/2024,Twirlers: SNT,Hempfield Area MS (8),EQ70-130,"13.550 1
st",
2/3/2024,Twirlers: SNT,Hempfield Area MS (8),MV70-130,"14.210 1
st",
2/3/2024,Twirlers: SNT,Hempfield Area MS (8),DES 70/130,"11.080 1
st",
2/3/2024,Twirlers: SNT,Hempfield Area MS (8),GE 70/130,"11.080 1
st",
2/3/2024,Twirlers: SNT,Hempfield Area MS (8),GE 70/130,"11.080 1
st",
2/3/2024,Twirlers: SNT,Hempfield Area MS (8),Total,,61.000
2/3/2024,Twirlers: IRT,Fast Forward,EQ70-130,"14.950 1
st",
2/3/2024,Twirlers: IRT,Fast Forward,MV70-130,"15.140 1
st",
2/3/2024,Twirlers: IRT,Fast Forward,DES 70/130,"13.080 1
st",
2/3/2024,Twirlers: IRT,Fast Forward,GE 70/130,"12.740 1
st",
2/3/2024,Twirlers: IRT,Fast Forward,GE 70/130,"12.740 1
st",
2/3/2024,Twirlers: IRT,Fast Forward,Total,,68.650
2/3/2024,Twirlers: SAT,Hempfield Area HS (8),EQ70-130,--,
2/3/2024,Twirlers: SAT,Hempfield Area HS (8),MV70-130,--,
2/3/2024,Twirlers: SAT,Hempfield Area HS (8),DES 10/10,--,
2/3/2024,Twirlers: SAT,Hempfield Area HS (8),GE 10/10,--,
2/3/2024,Twirlers: SAT,Hempfield Area HS (8),GE 10/10,--,
2/3/2024,Twirlers: SAT,Hempfield Area HS (8),Total,,--
2/3/2024,Twirlers: IAT,Fast Forward,EQ70-130,"14.550 1
st",
2/3/2024,Twirlers: IAT,Fast Forward,MV70-130,"15.010 1
st",
2/3/2024,Twirlers: IAT,Fast Forward,DES 10/10,"13.000 1
st",
2/3/2024,Twirlers: IAT,Fast Forward,GE 10/10,"12.900 1
st",
2/3/2024,Twirlers: IAT,Fast Forward,GE 10/10,"13.000 1
st",
2/3/2024,Twirlers: IAT,Fast Forward,Total,,68.460
2/3/2024,Marching Percussion: SNP,West Mifflin HS,VIS-PERC,"11.500 1
st",
2/3/2024,Marching Percussion: SNP,West Mifflin HS,VE-PERC,"10.900 1
st",
2/3/2024,Marching Percussion: SNP,West Mifflin HS,MUS-PERC,"14.000 1
st",
2/3/2024,Marching Percussion: SNP,West Mifflin HS,ME-PERC,"14.250 1
st",
2/3/2024,Marching Percussion: SNP,West Mifflin HS,Total,,50.650
2/3/2024,Marching Percussion: SRP,Connellsville HS,VIS-PERC,"11.200 1
st",
2/3/2024,Marching Percussion: SRP,Connellsville HS,VE-PERC,"10.500 1
st",
2/3/2024,Marching Percussion: SRP,Connellsville HS,MUS-PERC,"16.400 1
st",
2/3/2024,Marching Percussion: SRP,Connellsville HS,ME-PERC,"15.600 1
st",
2/3/2024,Marching Percussion: SRP,Connellsville HS,Total,,53.600
2/3/2024,Stationary Percussion: SOS,McKeesport Area HS,MUS-SPERC,"32.600 2
nd",
